
934,1,7,646.02
945,2,1,111.72
951,7,5,23.78
954,1,5,468.69
966,3,1,29.08
967,1,6,804.09
972,2,6,231.90
983,6,2,334.88
988,1,3,44.05
992,6,4,51.07
996,2,4,101.60
999,1,2,1798.92
1001,2,3,19.53
1009,7,4,43.52
1010,2,5,88.74
1011,1,4,927.73
1013,1,1,2310.49
1015,2,2,148.97
1017,2,7,168.48
1022,3,3,182.82
1024,6,3,1.16
1027,3,4,57.96
1029,7,3,79.31
1030,6,5,62.74
1031,7,7,114.50
1032,3,6,57.80
1033,3,2,15.23
1034,7,2,735.02
1036,3,7,144.07
1037,6,6,71.86
1038,6,1,164.42
1039,3,5,203.60
1040,7,1,81.62
